show_id,movie_id,cinema_id,seat_map,date,time
0,2,4,,0,13:20
1,2,4,,0,16:20
2,2,4,,0,15:10
3,2,4,,0,17:50
4,2,4,,0,18:50
5,2,4,,0,20:50
6,2,4,,0,17:20
7,2,4,,0,18:30
8,2,4,,0,18:30
9,2,4,,0,14:0
10,2,4,,0,15:10
11,2,4,,0,15:50
12,2,4,,0,14:40
13,2,4,,0,22:10
14,2,4,,0,21:30
15,2,4,,0,18:20
16,2,4,,0,14:40
17,2,4,,0,14:20
18,2,4,,0,16:0
19,1,4,,0,19:0
20,1,4,,0,22:50
21,1,4,,0,11:50
22,1,4,,0,16:20
23,1,4,,0,17:0
24,1,4,,0,10:40
25,1,4,,0,16:40
26,1,4,,0,16:20
27,1,4,,0,18:40
28,1,4,,0,14:10
29,1,4,,0,14:20
30,1,4,,0,18:30
31,1,4,,0,16:10
32,1,4,,0,16:20
33,1,4,,0,19:0
34,1,4,,0,17:50
35,1,4,,0,14:50
36,1,4,,0,15:30
37,15,4,,0,14:30
38,15,4,,0,20:10
39,15,4,,0,13:0
40,15,4,,0,15:50
41,15,4,,0,19:20
42,15,4,,0,21:30
43,15,4,,0,16:30
44,15,4,,0,14:20
45,15,4,,0,14:40
46,15,4,,0,16:10
47,15,4,,0,16:40
48,15,4,,0,17:40
49,15,4,,0,12:10
50,15,4,,0,20:50
51,15,4,,0,10:50
52,15,4,,0,17:20
53,15,4,,0,15:40
54,20,4,,0,19:30
55,20,4,,0,21:40
56,20,4,,0,14:10
57,20,4,,0,11:50
58,20,4,,0,18:40
59,20,4,,0,13:40
60,20,4,,0,20:50
61,20,4,,0,17:20
62,20,4,,0,14:50
63,20,4,,0,22:30
64,20,4,,0,22:10
65,20,4,,0,15:50
66,20,4,,0,12:30
67,20,4,,0,13:30
68,20,4,,0,15:30
69,20,4,,0,17:50
70,17,4,,0,19:30
71,17,4,,0,18:10
72,17,4,,0,13:30
73,17,4,,0,16:40
74,17,4,,0,19:40
75,17,4,,0,19:0
76,17,4,,0,19:0
77,17,4,,0,14:10
78,17,4,,0,20:20
79,17,4,,0,16:10
80,17,4,,0,15:30
81,17,4,,0,16:40
82,17,4,,0,17:30
83,17,4,,0,16:10
84,17,4,,0,17:30
85,11,4,,0,17:40
86,11,4,,0,14:10
87,11,4,,0,11:20
88,11,4,,0,15:50
89,11,4,,0,15:0
90,11,4,,0,12:20
91,11,4,,0,15:0
92,11,4,,0,18:10
93,11,4,,0,11:30
94,11,4,,0,19:10
95,11,4,,0,20:30
96,11,4,,0,18:50
97,11,4,,0,16:40
98,11,4,,0,11:0
99,30,4,,0,16:20
100,30,4,,0,13:10
101,30,4,,0,19:30
102,30,4,,0,10:40
103,30,4,,0,12:50
104,30,4,,0,19:40
105,30,4,,0,17:0
106,30,4,,0,14:40
107,30,4,,0,15:50
108,30,4,,0,17:30
109,30,4,,0,13:30
110,30,4,,0,10:20
111,30,4,,0,14:40
112,6,4,,0,12:30
113,6,4,,0,12:0
114,6,4,,0,14:30
115,6,4,,0,20:50
116,6,4,,0,15:0
117,6,4,,0,11:40
118,6,4,,0,13:0
119,6,4,,0,13:40
120,6,4,,0,14:40
121,6,4,,0,17:40
122,6,4,,0,19:30
123,6,4,,0,11:10
124,37,4,,0,16:40
125,37,4,,0,13:30
126,37,4,,0,20:50
127,37,4,,0,10:40
128,37,4,,0,16:40
129,37,4,,0,15:20
130,37,4,,0,18:0
131,37,4,,0,12:20
132,37,4,,0,16:40
133,37,4,,0,14:30
134,37,4,,0,18:0
135,43,4,,0,14:30
136,43,4,,0,15:10
137,43,4,,0,14:20
138,43,4,,0,17:10
139,43,4,,0,19:30
140,43,4,,0,14:30
141,43,4,,0,18:30
142,43,4,,0,14:20
143,43,4,,0,17:10
144,43,4,,0,15:40
145,63,4,,0,14:40
146,63,4,,0,20:40
147,63,4,,0,19:20
148,63,4,,0,13:40
149,63,4,,0,15:40
150,63,4,,0,17:50
151,63,4,,0,17:30
152,63,4,,0,19:30
153,63,4,,0,14:20
154,12,4,,0,13:50
155,12,4,,0,12:40
156,12,4,,0,17:0
157,12,4,,0,11:30
158,12,4,,0,17:30
159,12,4,,0,14:30
160,12,4,,0,14:40
161,12,4,,0,11:20
162,107,4,,0,22:30
163,107,4,,0,10:40
164,107,4,,0,13:0
165,107,4,,0,16:30
166,107,4,,0,12:0
167,107,4,,0,14:40
168,107,4,,0,16:0
169,2,60,,0,16:20
170,2,60,,0,12:0
171,2,60,,0,18:40
172,2,60,,0,19:40
173,2,60,,0,13:0
174,2,60,,0,15:20
175,2,60,,0,18:30
176,2,60,,0,17:0
177,2,60,,0,10:20
178,2,60,,0,18:40
179,2,60,,0,19:0
180,2,60,,0,14:40
181,2,60,,0,18:20
182,2,60,,0,12:20
183,2,60,,0,15:10
184,2,60,,0,13:10
185,2,60,,0,10:30
186,2,60,,0,13:40
187,1,60,,0,14:40
188,1,60,,0,21:0
189,1,60,,0,12:0
190,1,60,,0,13:30
191,1,60,,0,16:20
192,1,60,,0,19:10
193,1,60,,0,13:50
194,1,60,,0,20:30
195,1,60,,0,14:40
196,1,60,,0,19:50
197,1,60,,0,16:40
198,1,60,,0,17:40
199,1,60,,0,13:20
200,1,60,,0,15:20
201,1,60,,0,16:10
202,1,60,,0,17:20
203,1,60,,0,13:50
204,15,60,,0,17:30
205,15,60,,0,19:40
206,15,60,,0,17:10
207,15,60,,0,19:30
208,15,60,,0,22:50
209,15,60,,0,17:40
210,15,60,,0,14:10
211,15,60,,0,19:0
212,15,60,,0,16:10
213,15,60,,0,17:0
214,15,60,,0,15:0
215,15,60,,0,16:20
216,15,60,,0,16:0
217,15,60,,0,16:10
218,15,60,,0,19:0
219,15,60,,0,17:10
220,20,60,,0,18:30
221,20,60,,0,10:40
222,20,60,,0,15:50
223,20,60,,0,16:40
224,20,60,,0,15:40
225,20,60,,0,21:10
226,20,60,,0,16:10
227,20,60,,0,13:40
228,20,60,,0,15:20
229,20,60,,0,16:40
230,20,60,,0,17:50
231,20,60,,0,17:40
232,20,60,,0,17:20
233,20,60,,0,11:40
234,20,60,,0,13:10
235,17,60,,0,14:0
236,17,60,,0,21:50
237,17,60,,0,19:10
238,17,60,,0,13:20
239,17,60,,0,10:10
240,17,60,,0,11:0
241,17,60,,0,13:10
